2026-08-28T21:37:40.237992+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (59.8ms) | 1.1.1.1 (60.4ms) | 9.9.9.9 (58.6ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.4ms | +2.1ms | N/A | +0.0% | OK
2026-08-28T21:37:42.338204+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (61.4ms) | 1.1.1.1 (61.2ms) | 9.9.9.9 (60.3ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.4ms | +2.1ms | N/A | +0.0% | OK
2026-08-28T21:37:44.433683+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (58.5ms) | 1.1.1.1 (59.3ms) | 9.9.9.9 (58.8ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.4ms | +2.1ms | N/A | +0.0% | OK
2026-08-28T21:37:46.532610+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (58.2ms) | 1.1.1.1 (56.9ms) | 9.9.9.9 (58.1ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.4ms | +2.0ms | N/A | +0.0% | OK
2026-08-28T21:37:48.629849+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (62.7ms) | 1.1.1.1 (63.3ms) | 9.9.9.9 (64.5ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.4ms | +2.0ms | N/A | +0.0% | OK
2026-08-28T21:37:50.730722+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (60.2ms) | 1.1.1.1 (61.8ms) | 9.9.9.9 (61.4ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.4ms | +2.0ms | N/A | +0.0% | OK
2026-08-28T21:37:52.825475+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (55.9ms) | 1.1.1.1 (60.1ms) | 9.9.9.9 (58.2ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.4ms | +2.0ms | -0.4ms | +0.0% | OK
2026-08-28T21:37:54.922219+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (7.0ms) | 1.1.1.1 (8.1ms) | 9.9.9.9 (11.0ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.4ms | +2.5ms | -0.4ms | +0.0% | WARN
2026-08-28T21:37:57.017207+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (61.2ms) | 1.1.1.1 (61.8ms) | 9.9.9.9 (61.5ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.4ms | +2.5ms | -0.4ms | +0.0% | WARN
2026-08-28T21:37:59.114063+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (54.5ms) | 1.1.1.1 (55.5ms) | 9.9.9.9 (54.8ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.4ms | +2.4ms | -0.4ms | +0.0% | WARN
2026-08-28T21:38:01.210070+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (62.4ms) | 1.1.1.1 (62.8ms) | 9.9.9.9 (60.7ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.4ms | +2.4ms | -0.4ms | +0.0% | OK
2026-08-28T21:38:03.309446+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (65.4ms) | 1.1.1.1 (64.7ms) | 9.9.9.9 (66.1ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.4ms | +2.4ms | -0.4ms | +0.0% | WARN
2026-08-28T21:38:05.405645+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (59.1ms) | 1.1.1.1 (59.8ms) | 9.9.9.9 (59.1ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.4ms | +2.3ms | -0.4ms | +0.0% | OK
2026-08-28T21:38:07.502762+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (57.2ms) | 1.1.1.1 (59.1ms) | 9.9.9.9 (57.0ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.4ms | +2.3ms | -0.4ms | +0.0% | OK
2026-08-28T21:38:09.600851+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (62.2ms) | 1.1.1.1 (62.5ms) | 9.9.9.9 (62.5ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.4ms | +2.3ms | -0.4ms | +0.0% | OK
2026-08-28T21:38:11.696896+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (58.1ms) | 1.1.1.1 (58.5ms) | 9.9.9.9 (58.0ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.4ms | +2.2ms | -0.4ms | +0.0% | OK
2026-08-28T21:38:13.798061+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (57.3ms) | 1.1.1.1 (60.6ms) | 9.9.9.9 (58.2ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.4ms | +2.2ms | -0.4ms | +0.0% | OK
2026-08-28T21:38:15.896719+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (7.2ms) | 1.1.1.1 (7.7ms) | 9.9.9.9 (13.8ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.4ms | +2.8ms | -0.4ms | +0.0% | OK
2026-08-28T21:38:17.989384+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (53.4ms) | 1.1.1.1 (56.2ms) | 9.9.9.9 (53.9ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.4ms | +2.8ms | -0.4ms | +0.0% | OK
2026-08-28T21:38:20.086433+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (58.3ms) | 1.1.1.1 (58.6ms) | 9.9.9.9 (58.5ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.4ms | +2.8ms | -0.4ms | +0.0% | OK
2026-08-28T21:38:22.183679+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (63.2ms) | 1.1.1.1 (63.1ms) | 9.9.9.9 (62.9ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.4ms | +2.7ms | -0.4ms | +0.0% | OK
2026-08-28T21:38:24.280473+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (53.6ms) | 1.1.1.1 (55.8ms) | 9.9.9.9 (53.6ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.4ms | +2.7ms | -0.4ms | +0.0% | OK
2026-08-28T21:38:26.379508+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (60.8ms) | 1.1.1.1 (60.7ms) | 9.9.9.9 (59.8ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.4ms | +2.7ms | -0.4ms | +0.0% | OK
2026-08-28T21:38:28.475374+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (53.3ms) | 1.1.1.1 (52.5ms) | 9.9.9.9 (52.9ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.4ms | +2.6ms | -0.4ms | +0.0% | OK
2026-08-28T21:38:30.572098+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (52.0ms) | 1.1.1.1 (52.1ms) | 9.9.9.9 (54.3ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.4ms | +2.6ms | -0.4ms | +0.0% | OK
2026-08-28T21:38:32.667880+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (61.8ms) | 1.1.1.1 (59.6ms) | 9.9.9.9 (58.8ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.4ms | +2.6ms | -0.4ms | +0.0% | OK
2026-08-28T21:38:34.763593+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (64.4ms) | 1.1.1.1 (64.6ms) | 9.9.9.9 (65.0ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.4ms | +2.5ms | -0.4ms | +0.0% | OK
2026-08-28T21:38:36.860550+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (15.5ms) | 1.1.1.1 (15.9ms) | 9.9.9.9 (16.5ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.4ms | +2.5ms | -0.4ms | +0.0% | WARN
2026-08-28T21:38:38.959038+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (61.7ms) | 1.1.1.1 (60.9ms) | 9.9.9.9 (60.6ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.4ms | +2.5ms | -0.4ms | +0.0% | WARN
2026-08-28T21:38:41.054945+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (56.2ms) | 1.1.1.1 (56.2ms) | 9.9.9.9 (55.3ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.4ms | +2.4ms | -0.4ms | +0.0% | WARN
2026-08-28T21:38:43.152466+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (61.5ms) | 1.1.1.1 (62.2ms) | 9.9.9.9 (61.6ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.4ms | +2.4ms | -0.4ms | +0.0% | OK
2026-08-28T21:38:45.249545+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (57.1ms) | 1.1.1.1 (57.0ms) | 9.9.9.9 (56.8ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.4ms | +2.4ms | -0.4ms | +0.0% | WARN
2026-08-28T21:38:47.347412+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (59.6ms) | 1.1.1.1 (59.8ms) | 9.9.9.9 (60.4ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.4ms | +2.3ms | -0.4ms | +0.0% | WARN
2026-08-28T21:38:49.442794+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (59.1ms) | 1.1.1.1 (58.3ms) | 9.9.9.9 (57.4ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.4ms | +2.3ms | -0.4ms | +0.0% | WARN
2026-08-28T21:38:51.541580+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (59.4ms) | 1.1.1.1 (58.5ms) | 9.9.9.9 (58.7ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.4ms | +2.3ms | -0.4ms | +0.0% | WARN
2026-08-28T21:38:53.638068+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (54.4ms) | 1.1.1.1 (54.5ms) | 9.9.9.9 (54.4ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.3ms | +2.2ms | -0.4ms | +0.0% | WARN
2026-08-28T21:38:55.736574+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (55.8ms) | 1.1.1.1 (56.9ms) | 9.9.9.9 (56.8ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.3ms | +2.2ms | -0.4ms | +0.0% | WARN
2026-08-28T21:38:57.835725+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (6.9ms) | 1.1.1.1 (7.3ms) | 9.9.9.9 (10.2ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.3ms | +2.9ms | -0.4ms | +0.0% | WARN
2026-08-28T21:38:59.931575+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (58.2ms) | 1.1.1.1 (62.6ms) | 9.9.9.9 (60.7ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.4ms | +2.9ms | -0.4ms | +0.0% | WARN
2026-08-28T21:39:02.027991+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (57.1ms) | 1.1.1.1 (58.2ms) | 9.9.9.9 (57.6ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.4ms | +2.9ms | -0.4ms | +0.0% | OK
2026-08-28T21:39:04.123813+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (69.3ms) | 1.1.1.1 (73.8ms) | 9.9.9.9 (72.1ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.4ms | +2.9ms | -0.4ms | +0.0% | OK
2026-08-28T21:39:06.221443+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (61.3ms) | 1.1.1.1 (61.8ms) | 9.9.9.9 (61.8ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.4ms | +2.9ms | -0.4ms | +0.0% | WARN
2026-08-28T21:39:08.317942+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (55.2ms) | 1.1.1.1 (54.3ms) | 9.9.9.9 (54.6ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.3ms | +2.9ms | -0.4ms | +0.0% | WARN
2026-08-28T21:39:10.415790+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (60.5ms) | 1.1.1.1 (58.7ms) | 9.9.9.9 (56.4ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.3ms | +2.9ms | -0.4ms | +0.0% | WARN
2026-08-28T21:39:12.512243+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (57.7ms) | 1.1.1.1 (57.3ms) | 9.9.9.9 (56.6ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.3ms | +2.9ms | -0.4ms | +0.0% | WARN
2026-08-28T21:39:14.611602+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (65.9ms) | 1.1.1.1 (65.5ms) | 9.9.9.9 (65.9ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.3ms | +2.9ms | -0.4ms | +0.0% | WARN
2026-08-28T21:39:16.710508+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (60.7ms) | 1.1.1.1 (58.7ms) | 9.9.9.9 (58.9ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.3ms | +2.9ms | -0.4ms | +0.0% | WARN
2026-08-28T21:39:18.806549+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (6.4ms) | 1.1.1.1 (7.2ms) | 9.9.9.9 (10.3ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.3ms | +3.0ms | -0.4ms | +0.0% | WARN
