2026-08-29T00:22:41.236765+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (8.5ms) | 1.1.1.1 (8.2ms) | 9.9.9.9 (10.0ms) | 100.64.0.1 | YES | NO | HEALTHY | None | -0.0ms | +66.8ms | N/A | +0.0% | OK
2026-08-29T00:22:44.304899+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (12.4ms) | 1.1.1.1 (9.7ms) | 9.9.9.9 (16.8ms) | 100.64.0.1 | YES | NO | HEALTHY | None | +0.1ms | +64.0ms | N/A | +0.0% | OK
2026-08-29T00:22:47.367436+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (8.3ms) | 1.1.1.1 (9.0ms) | 9.9.9.9 (10.8ms) | 100.64.0.1 | YES | NO | HEALTHY | None | +0.2ms | +60.0ms | N/A | +0.0% | OK
2026-08-29T00:22:50.426448+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (6.9ms) | 1.1.1.1 (10.2ms) | 9.9.9.9 (11.6ms) | 100.64.0.1 | YES | NO | HEALTHY | None | +0.3ms | +55.9ms | N/A | +0.0% | OK
2026-08-29T00:22:53.496344+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (20.9ms) | 1.1.1.1 (20.3ms) | 9.9.9.9 (19.1ms) | 100.64.0.1 | YES | NO | HEALTHY | None | +0.2ms | +51.8ms | N/A | +0.0% | OK
2026-08-29T00:22:56.637212+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (12.1ms) | 1.1.1.1 (96.3ms) | 9.9.9.9 (93.5ms) | 100.64.0.1 | YES | NO | HEALTHY | None | +0.1ms | +47.8ms | N/A | +0.0% | OK
2026-08-29T00:22:59.676061+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (10.2ms) | 1.1.1.1 (10.6ms) | 9.9.9.9 (12.1ms) | 100.64.0.1 | YES | NO | HEALTHY | None | +0.2ms | +43.7ms | +0.2ms | +0.0% | OK
2026-08-29T00:23:02.795870+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (9.4ms) | 1.1.1.1 (9.8ms) | 9.9.9.9 (9.7ms) | 100.64.0.1 | YES | NO | HEALTHY | None | +0.1ms | +39.6ms | +0.2ms | +0.0% | OK
2026-08-29T00:23:05.836078+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (9.3ms) | 1.1.1.1 (10.4ms) | 9.9.9.9 (11.8ms) | 100.64.0.1 | YES | NO | HEALTHY | None | +0.2ms | +35.6ms | +0.2ms | +0.0% | OK
2026-08-29T00:23:08.874666+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (7.0ms) | 1.1.1.1 (7.9ms) | 9.9.9.9 (8.7ms) | 100.64.0.1 | YES | NO | HEALTHY | None | +0.3ms | +31.5ms | +0.2ms | +0.0% | WARN
2026-08-29T00:23:10.927772+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (5.2ms) | 1.1.1.1 (9.2ms) | 9.9.9.9 (10.6ms) | 100.64.0.1 | YES | NO | HEALTHY | None | +0.4ms | +27.4ms | +0.2ms | +0.0% | WARN
2026-08-29T00:23:13.985899+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (8.9ms) | 1.1.1.1 (9.3ms) | 9.9.9.9 (12.6ms) | 100.64.0.1 | YES | NO | HEALTHY | None | +0.5ms | +23.4ms | +0.2ms | +0.0% | WARN
2026-08-29T00:23:17.091017+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (77.4ms) | 1.1.1.1 (78.4ms) | 9.9.9.9 (77.6ms) | 100.64.0.1 | YES | NO | HEALTHY | None | +0.4ms | +19.3ms | +0.2ms | +0.0% | WARN
2026-08-29T00:23:20.230041+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (7.6ms) | 1.1.1.1 (8.5ms) | 9.9.9.9 (97.1ms) | 100.64.0.1 | YES | NO | HEALTHY | None | +0.5ms | +88.4ms | +0.2ms | +0.0% | WARN
2026-08-29T00:23:23.378825+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (11.4ms) | 1.1.1.1 (101.1ms) | 9.9.9.9 (98.6ms) | 100.64.0.1 | YES | NO | HEALTHY | None | +0.4ms | +88.4ms | +0.2ms | +0.0% | WARN
2026-08-29T00:23:26.522345+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (10.8ms) | 1.1.1.1 (11.8ms) | 9.9.9.9 (99.3ms) | 100.64.0.1 | YES | NO | HEALTHY | None | +0.5ms | +88.4ms | +0.2ms | +0.0% | WARN
2026-08-29T00:23:29.563776+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (6.8ms) | 1.1.1.1 (8.5ms) | 9.9.9.9 (10.6ms) | 100.64.0.1 | YES | NO | HEALTHY | None | +0.6ms | +88.4ms | +0.2ms | +0.0% | WARN
2026-08-29T00:23:32.682594+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (11.2ms) | 1.1.1.1 (11.2ms) | 9.9.9.9 (11.2ms) | 100.64.0.1 | YES | NO | HEALTHY | None | +0.5ms | +88.3ms | +0.2ms | +0.0% | WARN
2026-08-29T00:23:35.737564+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (10.1ms) | 1.1.1.1 (10.3ms) | 9.9.9.9 (9.8ms) | 100.64.0.1 | YES | NO | HEALTHY | None | +0.4ms | +88.3ms | +0.2ms | +0.0% | WARN
2026-08-29T00:23:38.799929+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (11.1ms) | 1.1.1.1 (11.1ms) | 9.9.9.9 (12.7ms) | 100.64.0.1 | YES | NO | HEALTHY | None | +0.5ms | +88.2ms | +0.2ms | +0.0% | WARN
2026-08-29T00:23:41.869541+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (7.9ms) | 1.1.1.1 (9.0ms) | 9.9.9.9 (10.3ms) | 100.64.0.1 | YES | NO | HEALTHY | None | +0.6ms | +88.2ms | +0.2ms | +0.0% | WARN
2026-08-29T00:23:43.925945+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (5.5ms) | 1.1.1.1 (10.2ms) | 9.9.9.9 (10.3ms) | 100.64.0.1 | YES | NO | HEALTHY | None | +0.5ms | +88.1ms | +0.2ms | +0.0% | WARN
2026-08-29T00:23:46.975592+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (19.1ms) | 1.1.1.1 (17.9ms) | 9.9.9.9 (15.7ms) | 100.64.0.1 | YES | NO | HEALTHY | None | +0.4ms | +88.1ms | +0.2ms | +0.0% | WARN
2026-08-29T00:23:50.120404+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (96.1ms) | 1.1.1.1 (93.5ms) | 9.9.9.9 (95.2ms) | 100.64.0.1 | YES | NO | HEALTHY | None | +0.5ms | +88.0ms | +0.2ms | +0.0% | WARN
2026-08-29T00:23:53.261689+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (10.9ms) | 1.1.1.1 (95.9ms) | 9.9.9.9 (93.4ms) | 100.64.0.1 | YES | NO | HEALTHY | None | +0.4ms | +88.0ms | +0.2ms | +0.0% | WARN
2026-08-29T00:23:56.406247+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (11.6ms) | 1.1.1.1 (10.1ms) | 9.9.9.9 (99.6ms) | 100.64.0.1 | YES | NO | HEALTHY | None | +0.5ms | +88.5ms | +0.2ms | +0.0% | WARN
2026-08-29T00:23:59.449815+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (7.7ms) | 1.1.1.1 (9.6ms) | 9.9.9.9 (10.0ms) | 100.64.0.1 | YES | NO | HEALTHY | None | +0.5ms | +88.5ms | +0.2ms | +0.0% | WARN
2026-08-29T00:24:02.554093+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (6.8ms) | 1.1.1.1 (8.9ms) | 9.9.9.9 (10.4ms) | 100.64.0.1 | YES | NO | HEALTHY | None | +0.5ms | +88.5ms | +0.2ms | +0.0% | WARN
2026-08-29T00:24:04.600578+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (5.3ms) | 1.1.1.1 (9.3ms) | 9.9.9.9 (10.8ms) | 100.64.0.1 | YES | NO | HEALTHY | None | +0.6ms | +88.5ms | +0.2ms | +0.0% | WARN
2026-08-29T00:24:06.659127+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (4.8ms) | 1.1.1.1 (7.9ms) | 9.9.9.9 (10.6ms) | 100.64.0.1 | YES | NO | HEALTHY | None | +0.7ms | +88.5ms | +0.2ms | +0.0% | WARN
2026-08-29T00:24:09.714908+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (5.1ms) | 1.1.1.1 (9.6ms) | 9.9.9.9 (11.2ms) | 100.64.0.1 | YES | NO | HEALTHY | None | +0.8ms | +88.5ms | +0.2ms | +0.0% | WARN
2026-08-29T00:24:12.774220+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (9.2ms) | 1.1.1.1 (9.3ms) | 9.9.9.9 (11.0ms) | 100.64.0.1 | YES | NO | HEALTHY | None | +0.8ms | +88.5ms | +0.2ms | +0.0% | WARN
2026-08-29T00:24:15.830710+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (7.8ms) | 1.1.1.1 (10.4ms) | 9.9.9.9 (10.2ms) | 100.64.0.1 | YES | NO | HEALTHY | None | +0.8ms | +88.5ms | +0.2ms | +0.0% | WARN
2026-08-29T00:24:18.957945+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (81.2ms) | 1.1.1.1 (79.4ms) | 9.9.9.9 (78.4ms) | 100.64.0.1 | YES | NO | HEALTHY | None | +0.7ms | +88.4ms | +0.2ms | +0.0% | WARN
2026-08-29T00:24:22.103103+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (59.6ms) | 1.1.1.1 (59.5ms) | 9.9.9.9 (59.2ms) | 100.64.0.1 | YES | NO | HEALTHY | None | +0.6ms | +88.4ms | +0.2ms | +0.0% | WARN
2026-08-29T00:24:25.248159+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (5.1ms) | 1.1.1.1 (95.0ms) | 9.9.9.9 (97.0ms) | 100.64.0.1 | YES | NO | HEALTHY | None | +0.7ms | +88.4ms | +0.2ms | +0.0% | WARN
2026-08-29T00:24:28.289896+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (7.1ms) | 1.1.1.1 (9.1ms) | 9.9.9.9 (10.1ms) | 100.64.0.1 | YES | NO | HEALTHY | None | +0.8ms | +88.4ms | +0.2ms | +0.0% | WARN
2026-08-29T00:24:31.425532+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (4.2ms) | 1.1.1.1 (9.2ms) | 9.9.9.9 (9.2ms) | 100.64.0.1 | YES | NO | HEALTHY | None | +0.8ms | +88.4ms | +0.2ms | +0.0% | WARN
