2026-08-28T21:12:28.504266+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (11.9ms) | 1.1.1.1 (11.7ms) | 9.9.9.9 (11.0ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +0.1ms | +7.0ms | N/A | +0.0% | OK
2026-08-28T21:12:31.586605+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (12.9ms) | 1.1.1.1 (10.7ms) | 9.9.9.9 (36.3ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +0.2ms | +20.3ms | N/A | +0.0% | OK
2026-08-28T21:12:34.643325+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (11.4ms) | 1.1.1.1 (11.0ms) | 9.9.9.9 (9.6ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +0.1ms | +19.4ms | N/A | +0.0% | OK
2026-08-28T21:12:37.698594+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (7.7ms) | 1.1.1.1 (8.5ms) | 9.9.9.9 (8.9ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +0.2ms | +18.6ms | N/A | +0.0% | OK
2026-08-28T21:12:40.760672+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (10.8ms) | 1.1.1.1 (9.4ms) | 9.9.9.9 (11.3ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +0.3ms | +17.7ms | N/A | +0.0% | OK
2026-08-28T21:12:43.810793+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (6.7ms) | 1.1.1.1 (9.2ms) | 9.9.9.9 (11.1ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +0.4ms | +16.8ms | N/A | +0.0% | OK
2026-08-28T21:12:46.864254+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (10.8ms) | 1.1.1.1 (11.3ms) | 9.9.9.9 (10.0ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +0.3ms | +15.9ms | +0.3ms | +0.0% | OK
2026-08-28T21:12:50.007076+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (10.5ms) | 1.1.1.1 (7.1ms) | 9.9.9.9 (9.2ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +0.4ms | +15.0ms | +0.3ms | +0.0% | WARN
2026-08-28T21:12:53.066334+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (7.5ms) | 1.1.1.1 (12.0ms) | 9.9.9.9 (15.2ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +0.5ms | +14.2ms | +0.3ms | +0.0% | WARN
2026-08-28T21:12:56.122758+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (11.1ms) | 1.1.1.1 (12.3ms) | 9.9.9.9 (13.0ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +0.6ms | +13.3ms | +0.3ms | +0.0% | WARN
2026-08-28T21:12:59.186227+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (11.9ms) | 1.1.1.1 (10.1ms) | 9.9.9.9 (9.3ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +0.5ms | +12.4ms | +0.3ms | +0.0% | WARN
2026-08-28T21:13:02.239396+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (13.1ms) | 1.1.1.1 (10.4ms) | 9.9.9.9 (10.1ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +0.4ms | +11.5ms | +0.3ms | +0.0% | WARN
2026-08-28T21:13:05.296564+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (8.3ms) | 1.1.1.1 (11.5ms) | 9.9.9.9 (11.7ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +0.3ms | +10.6ms | +0.3ms | +0.0% | WARN
2026-08-28T21:13:08.357499+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (10.7ms) | 1.1.1.1 (10.1ms) | 9.9.9.9 (12.4ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +0.4ms | +9.8ms | +0.3ms | +0.0% | WARN
2026-08-28T21:13:10.393156+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (4.0ms) | 1.1.1.1 (8.1ms) | 9.9.9.9 (8.7ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +0.5ms | +8.9ms | +0.3ms | +0.0% | WARN
2026-08-28T21:13:13.447465+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (6.9ms) | 1.1.1.1 (9.4ms) | 9.9.9.9 (10.2ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +0.6ms | +8.0ms | +0.3ms | +0.0% | WARN
2026-08-28T21:13:16.506873+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (6.3ms) | 1.1.1.1 (9.2ms) | 9.9.9.9 (10.7ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +0.6ms | +7.8ms | +0.3ms | +0.0% | WARN
2026-08-28T21:13:19.633117+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (9.2ms) | 1.1.1.1 (7.9ms) | 9.9.9.9 (13.0ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +0.6ms | +7.7ms | +0.3ms | +0.0% | WARN
