2026-08-28T18:04:33.146741+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (16.5ms) | 1.1.1.1 (15.2ms) | 9.9.9.9 (13.9ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +0.9ms | +26.5ms | N/A | +0.0% | OK
2026-08-28T18:04:36.196985+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (10.4ms) | 1.1.1.1 (11.5ms) | 9.9.9.9 (10.4ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +0.8ms | +26.3ms | N/A | +0.0% | OK
2026-08-28T18:04:39.244564+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (7.6ms) | 1.1.1.1 (8.1ms) | 9.9.9.9 (13.0ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +0.9ms | +26.0ms | N/A | +0.0% | OK
2026-08-28T18:04:42.305968+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (11.7ms) | 1.1.1.1 (10.5ms) | 9.9.9.9 (12.8ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +0.9ms | +25.7ms | N/A | +0.0% | OK
2026-08-28T18:04:45.345438+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (9.0ms) | 1.1.1.1 (10.9ms) | 9.9.9.9 (9.3ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +0.9ms | +25.4ms | N/A | +0.0% | OK
2026-08-28T18:04:48.403676+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (9.7ms) | 1.1.1.1 (9.7ms) | 9.9.9.9 (10.4ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +0.8ms | +25.1ms | N/A | +0.0% | OK
2026-08-28T18:04:51.461132+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (10.9ms) | 1.1.1.1 (11.2ms) | 9.9.9.9 (9.7ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +0.8ms | +24.9ms | +0.8ms | +0.0% | OK
2026-08-28T18:04:54.589853+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (11.0ms) | 1.1.1.1 (9.9ms) | 9.9.9.9 (10.4ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +0.7ms | +24.6ms | +0.8ms | +0.0% | OK
2026-08-28T18:04:57.649287+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (11.7ms) | 1.1.1.1 (11.2ms) | 9.9.9.9 (10.3ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +0.6ms | +24.3ms | +0.8ms | +0.0% | OK
2026-08-28T18:05:00.717588+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (11.0ms) | 1.1.1.1 (11.3ms) | 9.9.9.9 (16.3ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +0.7ms | +24.0ms | +0.8ms | +0.0% | OK
2026-08-28T18:05:03.774533+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (13.4ms) | 1.1.1.1 (15.8ms) | 9.9.9.9 (14.3ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +0.6ms | +23.7ms | +0.8ms | +0.0% | OK
2026-08-28T18:05:06.834770+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (14.4ms) | 1.1.1.1 (13.6ms) | 9.9.9.9 (11.1ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +0.5ms | +23.5ms | +0.8ms | +0.0% | OK
2026-08-28T18:05:09.898271+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (11.3ms) | 1.1.1.1 (16.9ms) | 9.9.9.9 (14.1ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +0.5ms | +23.2ms | +0.8ms | +0.0% | OK
2026-08-28T18:05:12.961897+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (6.1ms) | 1.1.1.1 (8.5ms) | 9.9.9.9 (10.6ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +0.5ms | +22.9ms | +0.8ms | +0.0% | OK
2026-08-28T18:05:15.019070+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (4.8ms) | 1.1.1.1 (7.9ms) | 9.9.9.9 (10.0ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +0.6ms | +22.6ms | +0.8ms | +0.0% | OK
2026-08-28T18:05:18.072717+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (11.8ms) | 1.1.1.1 (11.0ms) | 9.9.9.9 (11.1ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +0.5ms | +22.3ms | +0.8ms | +0.0% | OK
2026-08-28T18:05:21.123593+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (5.6ms) | 1.1.1.1 (8.4ms) | 9.9.9.9 (10.9ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +0.6ms | +21.8ms | +0.8ms | +0.0% | OK
2026-08-28T18:05:24.245645+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (8.7ms) | 1.1.1.1 (9.4ms) | 9.9.9.9 (9.8ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +0.5ms | +21.3ms | +0.8ms | +0.0% | OK
2026-08-28T18:05:27.300987+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (6.8ms) | 1.1.1.1 (9.2ms) | 9.9.9.9 (10.9ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +0.6ms | +20.7ms | +0.8ms | +0.0% | OK
2026-08-28T18:05:30.344050+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (10.9ms) | 1.1.1.1 (9.7ms) | 9.9.9.9 (11.4ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +0.7ms | +20.2ms | +0.8ms | +0.0% | OK
2026-08-28T18:05:33.405469+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (14.0ms) | 1.1.1.1 (15.2ms) | 9.9.9.9 (12.9ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +0.6ms | +19.7ms | +0.8ms | +0.0% | OK
2026-08-28T18:05:36.465638+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (10.0ms) | 1.1.1.1 (12.6ms) | 9.9.9.9 (14.5ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +0.7ms | +19.2ms | +0.8ms | +0.0% | OK
2026-08-28T18:05:39.522916+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (12.0ms) | 1.1.1.1 (12.5ms) | 9.9.9.9 (10.1ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +0.6ms | +18.6ms | +0.8ms | +0.0% | OK
2026-08-28T18:05:42.813575+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (248.5ms) | 1.1.1.1 (245.6ms) | 9.9.9.9 (244.2ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +0.5ms | +18.1ms | +0.8ms | +0.0% | OK
2026-08-28T18:05:45.880572+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (5.9ms) | 1.1.1.1 (14.3ms) | 9.9.9.9 (17.9ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +0.6ms | +17.6ms | +0.8ms | +0.0% | OK
2026-08-28T18:05:48.932933+02:00 | en0 | 192.168.31.161 | 192.168.31.1 (19.1ms) | 1.1.1.1 (16.2ms) | 9.9.9.9 (14.0ms) | 100.64.0.1 | YES | YES | HEALTHY | None | +0.5ms | +17.0ms | +0.8ms | +0.0% | OK
