2026-08-28T21:32:38.251439+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (63.2ms) | 1.1.1.1 (67.9ms) | 9.9.9.9 (65.9ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.1ms | +2.0ms | N/A | +0.0% | OK
2026-08-28T21:32:40.347392+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (58.5ms) | 1.1.1.1 (56.3ms) | 9.9.9.9 (58.2ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.1ms | +2.1ms | N/A | +0.0% | OK
2026-08-28T21:32:42.443312+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (57.9ms) | 1.1.1.1 (59.0ms) | 9.9.9.9 (58.6ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.1ms | +2.1ms | N/A | +0.0% | OK
2026-08-28T21:32:44.540644+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (66.2ms) | 1.1.1.1 (69.3ms) | 9.9.9.9 (67.0ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.1ms | +2.1ms | N/A | +0.0% | OK
2026-08-28T21:32:46.638809+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (52.0ms) | 1.1.1.1 (54.0ms) | 9.9.9.9 (54.7ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.1ms | +2.0ms | N/A | +0.0% | OK
2026-08-28T21:32:48.736211+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (58.2ms) | 1.1.1.1 (59.3ms) | 9.9.9.9 (58.6ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.1ms | +2.0ms | N/A | +0.0% | OK
2026-08-28T21:32:50.832522+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (54.3ms) | 1.1.1.1 (56.6ms) | 9.9.9.9 (55.5ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.2ms | +2.0ms | -0.2ms | +0.0% | OK
2026-08-28T21:32:52.931838+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (20.5ms) | 1.1.1.1 (20.2ms) | 9.9.9.9 (20.9ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.1ms | +2.0ms | -0.2ms | +0.0% | WARN
2026-08-28T21:32:55.026418+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (52.5ms) | 1.1.1.1 (55.3ms) | 9.9.9.9 (53.1ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.2ms | +2.0ms | -0.2ms | +0.0% | OK
2026-08-28T21:32:57.123378+02:00 | en0 | 192.168.31.125 | 192.168.31.1 (58.4ms) | 1.1.1.1 (58.4ms) | 9.9.9.9 (58.7ms) | 192.168.31.1 | YES | NO | HEALTHY | None | -0.1ms | +2.0ms | -0.2ms | +0.0% | WARN
