# ==============================================================================
# ping_checker telemetry capture log
# script_version: 1.4.0
# schema_version: 4
# started_at: 2026-09-01T22:51:11.227521+02:00
# host: Arjans-MacBook-Pro.local (arm64, macOS 26.6.2 (25G83))
# interface: en0 (Wi-Fi, SSID: <redacted>, BSSID: <redacted>, Channel 100 (5GHz), RSSI: -60 dBm, Noise: -95 dBm, SNR: 35 dB, TxRate: 612.0 Mbps)
# power_profile: Source=Battery, LowPowerMode=Enabled
# keep_awake_mode: qos-vo (WMM Voice DSCP EF tagging)
# vpn_agent: Zscaler (ProcessActive=False, TunnelIface=None, VirtualGW=N/A)
# probe_methodology: Dual-Path Concurrent ICMP Echo.
#   - Direct ISP Path: Bound to physical interface using ping -S <Local_IP> (bypasses tunnel).
#   - Tunnel Path: Standard routed ping to target (traverses default route / virtual tunnel).
#   - Overhead Delta: Direct_ISP_RTT - LAN_GW_RTT. Negative values occur during Wi-Fi 802.11 PSM DTIM wake-ups.
# target_pool: 1.1.1.1, 1.0.0.1, 8.8.8.8, 8.8.4.4, 9.9.9.9, 149.112.112.112, 208.67.222.222, 208.67.220.220 (Rotated periodically to prevent remote edge rate-limiting)
# ==============================================================================
Timestamp_ISO,Interface,Medium,Local_IP,LAN_GW_IP,LAN_GW_RTT_ms,Channel,RSSI_dBm,Target_IP,Target_Alias,Target_Pool_Index,Direct_ISP_RTT_ms,Tunnel_RTT_ms,Direct_Route_Verified,Tunnel_Route_Verified,Tunnel_Virtual_Next_Hop,Status,Fault_Domain,Overhead_Delta_p50_ms,Overhead_Delta_p95_ms,Overhead_Baseline_p50_ms,Overhead_Loss_Delta_pct,Overhead_Alert,Overhead_Alert_Reason
2026-09-01T22:51:48.340181+02:00,en0,Wi-Fi,192.168.31.125,192.168.31.1,5.8,100 (5GHz),-60,8.8.4.4,Google-Secondary,3,8.2,7.6,YES,NO,N/A,HEALTHY,None,-1.0,0.4,,0.0,OK,N/A
2026-09-01T22:51:50.375269+02:00,en0,Wi-Fi,192.168.31.125,192.168.31.1,5.7,100 (5GHz),-60,8.8.4.4,Google-Secondary,3,9.4,7.3,YES,NO,N/A,HEALTHY,None,-1.0,0.4,,0.0,OK,N/A
2026-09-01T22:51:52.514962+02:00,en0,Wi-Fi,192.168.31.125,192.168.31.1,6.8,100 (5GHz),-60,8.8.4.4,Google-Secondary,3,7.1,7.4,YES,NO,N/A,HEALTHY,None,-1.0,0.4,,0.0,OK,N/A
2026-09-01T22:51:54.566094+02:00,en0,Wi-Fi,192.168.31.125,192.168.31.1,4.6,100 (5GHz),-60,8.8.4.4,Google-Secondary,3,7.1,10.7,YES,NO,N/A,HEALTHY,None,-0.8,3.2,,0.0,OK,N/A
2026-09-01T22:51:56.612223+02:00,en0,Wi-Fi,192.168.31.125,192.168.31.1,8.4,100 (5GHz),-60,8.8.4.4,Google-Secondary,3,8.1,5.8,YES,NO,N/A,HEALTHY,None,-1.0,3.0,,0.0,OK,N/A
2026-09-01T22:51:58.644741+02:00,en0,Wi-Fi,192.168.31.125,192.168.31.1,7.8,100 (5GHz),-60,8.8.4.4,Google-Secondary,3,11.8,10.2,YES,NO,N/A,HEALTHY,None,-1.0,2.8,,0.0,OK,N/A
2026-09-01T22:52:00.690491+02:00,en0,Wi-Fi,192.168.31.125,192.168.31.1,5.3,100 (5GHz),-60,8.8.4.4,Google-Secondary,3,8.5,8.0,YES,NO,N/A,HEALTHY,None,-1.0,2.7,,0.0,OK,N/A
2026-09-01T22:52:02.768103+02:00,en0,Wi-Fi,192.168.31.125,192.168.31.1,39.6,100 (5GHz),-60,8.8.4.4,Google-Secondary,3,37.2,35.1,YES,NO,N/A,HEALTHY,None,-1.0,2.5,,0.0,OK,N/A
2026-09-01T22:52:04.868325+02:00,en0,Wi-Fi,192.168.31.125,192.168.31.1,59.0,100 (5GHz),-60,8.8.4.4,Google-Secondary,3,64.2,59.0,YES,NO,N/A,HEALTHY,None,-1.0,2.4,,0.0,OK,N/A
2026-09-01T22:52:06.959337+02:00,en0,Wi-Fi,192.168.31.125,192.168.31.1,51.0,100 (5GHz),-60,8.8.4.4,Google-Secondary,3,48.4,46.0,YES,NO,N/A,HEALTHY,None,-1.1,2.2,,0.0,OK,N/A
2026-09-01T22:52:09.057974+02:00,en0,Wi-Fi,192.168.31.125,192.168.31.1,77.5,100 (5GHz),-60,8.8.4.4,Google-Secondary,3,78.3,76.6,YES,NO,N/A,HEALTHY,None,-1.1,2.0,,0.0,OK,N/A
2026-09-01T22:52:11.154913+02:00,en0,Wi-Fi,192.168.31.125,192.168.31.1,60.0,100 (5GHz),-60,8.8.4.4,Google-Secondary,3,57.9,55.7,YES,NO,N/A,HEALTHY,None,-1.2,1.9,-1.2,0.0,OK,N/A
2026-09-01T22:52:13.298806+02:00,en0,Wi-Fi,192.168.31.125,192.168.31.1,5.3,100 (5GHz),-60,8.8.4.4,Google-Secondary,3,7.2,10.2,YES,NO,N/A,HEALTHY,None,-1.1,3.3,-1.2,0.0,OK,N/A
2026-09-01T22:52:15.351800+02:00,en0,Wi-Fi,192.168.31.125,192.168.31.1,3.4,100 (5GHz),-60,8.8.4.4,Google-Secondary,3,8.8,7.4,YES,NO,N/A,HEALTHY,None,-1.2,3.2,-1.2,0.0,OK,N/A
2026-09-01T22:52:17.396379+02:00,en0,Wi-Fi,192.168.31.125,192.168.31.1,3.0,100 (5GHz),-60,8.8.4.4,Google-Secondary,3,6.7,7.6,YES,NO,N/A,HEALTHY,None,-1.1,3.2,-1.2,0.0,OK,N/A
2026-09-01T22:52:19.425674+02:00,en0,Wi-Fi,192.168.31.125,192.168.31.1,3.3,100 (5GHz),-60,8.8.4.4,Google-Secondary,3,7.8,7.0,YES,NO,N/A,HEALTHY,None,-1.1,3.2,-1.2,0.0,OK,N/A
2026-09-01T22:52:21.463650+02:00,en0,Wi-Fi,192.168.31.125,192.168.31.1,3.4,100 (5GHz),-60,8.8.4.4,Google-Secondary,3,8.4,7.2,YES,NO,N/A,HEALTHY,None,-1.1,3.1,-1.2,0.0,OK,N/A
2026-09-01T22:52:23.514764+02:00,en0,Wi-Fi,192.168.31.125,192.168.31.1,5.2,100 (5GHz),-60,8.8.4.4,Google-Secondary,3,7.3,6.8,YES,NO,N/A,HEALTHY,None,-1.1,3.1,-1.2,0.0,OK,N/A
2026-09-01T22:52:25.564042+02:00,en0,Wi-Fi,192.168.31.125,192.168.31.1,5.1,100 (5GHz),-60,8.8.4.4,Google-Secondary,3,7.6,6.1,YES,NO,N/A,HEALTHY,None,-1.1,3.1,-1.2,0.0,OK,N/A
2026-09-01T22:52:27.615729+02:00,en0,Wi-Fi,192.168.31.125,192.168.31.1,19.2,100 (5GHz),-60,8.8.4.4,Google-Secondary,3,16.2,14.3,YES,NO,N/A,HEALTHY,None,-1.1,3.1,-1.2,0.0,OK,N/A
